web-scraper-order,web-scraper-start-url,countries
"1531834983-43","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Comoros"
"1531834983-185","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Turkmenistan"
"1531834983-92","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Jordan"
"1531834983-29","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Bulgaria"
"1531834983-149","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Russian Federation"
"1531834983-106","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Luxembourg"
"1531834983-120","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Monaco"
"1531834983-156","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Saudi Arabia"
"1531834983-65","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","French Guiana"
"1531834983-178","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Tanzania"
"1531834983-139","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Papua New Guinea"
"1531834983-15","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Bahrain"
"1531834983-30","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Burkina Faso"
"1531834983-4","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Algeria"
"1531834983-138","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Panama"
"1531834983-96","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Kuwait"
"1531834983-194","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Vietnam"
"1531834983-183","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Tunisia"
"1531834983-74","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Guadeloupe"
"1531834983-79","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Haiti"
"1531834983-142","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Philippines"
"1531834983-177","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Tajikistan"
"1531834983-82","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Iceland"
"1531834983-115","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Mauritania"
"1531834983-80","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Honduras"
"1531834983-123","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Montserrat"
"1531834983-78","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Guyana"
"1531834983-13","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Azerbaijan"
"1531834983-53","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Dominica"
"1531834983-12","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Austria"
"1531834983-64","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","France"
"1531834983-50","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Democratic Republic of the Congo"
"1531834983-33","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Cambodia"
"1531834983-140","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Paraguay"
"1531834983-168","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","South Sudan"
"1531834983-165","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Somalia"
"1531834983-99","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Latvia"
"1531834983-181","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Togo"
"1531834983-36","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Cape Verde"
"1531834983-84","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Indonesia"
"1531834983-66","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Gabon"
